ano,mes,sigla_uf,id_estabelecimento_cnes,total_internacoes,permanencia_media_dias,total_leitos
2024,Dezembro,RS,2252295,226,15,215
2024,Dezembro,RS,2255928,70,4,35
2024,Dezembro,RS,2259869,38,7,55
2024,Dezembro,RS,2259931,40,7,45
2024,Dezembro,RS,2263858,395,6,151
2024,Dezembro,RS,2263890,50,6,51
2024,Dezembro,RJ,2269899,292,4,89
2024,Dezembro,RJ,2270056,173,2,32
2024,Dezembro,RJ,2270234,446,7,282
2024,Dezembro,RJ,2270269,756,12,342
2024,Dezembro,RJ,2270390,280,9,62
2024,Dezembro,RJ,2272695,97,4,77
2024,Dezembro,RJ,2273357,17,7,45
2024,Dezembro,RJ,2273411,643,9,201
2024,Dezembro,RJ,2274299,275,11,77
2024,Dezembro,RJ,2275562,214,17,294
2024,Dezembro,RJ,2280051,976,8,240
2024,Dezembro,RJ,2283239,197,7,81
2024,Dezembro,RJ,2283794,10,4,48
2024,Dezembro,RJ,2285932,31,10,60
2024,Dezembro,RJ,2287919,193,8,107
2024,Dezembro,RJ,2288907,207,5,67
2024,Dezembro,RJ,2292386,147,14,107
2024,Dezembro,RJ,2295407,1474,6,198
2024,Dezembro,RJ,2295415,487,10,173
2024,Dezembro,RJ,2297795,522,9,226
2024,Dezembro,RJ,2298317,868,12,298
2024,Dezembro,RJ,2298724,56,15,71
2024,Dezembro,SC,2302500,410,6,130
2024,Dezembro,SC,2302748,121,13,80
2024,Dezembro,MA,2306697,158,3,114
2024,Dezembro,MA,2308088,94,30,75
2024,Dezembro,MA,2310511,78,4,72
2024,Dezembro,PB,2315793,239,8,151
2024,Dezembro,PA,2316641,155,4,56
2024,Dezembro,PI,2323354,53,9,26
2024,Dezembro,CE,2328046,1145,5,147
2024,Dezembro,PA,2328798,317,5,144
2024,Dezembro,PA,2331292,6,4,46
2024,Dezembro,PA,2332930,251,1,85
2024,Dezembro,PA,2332981,463,15,242
2024,Dezembro,GO,2337800,89,17,108
2024,Dezembro,GO,2339080,288,3,34
2024,Dezembro,GO,2339161,4,2,33
2024,Dezembro,GO,2339196,796,9,174
2024,Dezembro,GO,2340704,84,9,133
2024,Dezembro,PE,2344254,91,10,171
2024,Dezembro,PE,2346621,6,27,137
2024,Dezembro,PE,2351633,9,12,71
2024,Dezembro,PE,2354888,5,0,4
2024,Dezembro,PA,2360411,269,3,85
2024,Dezembro,GO,2361949,506,4,44
2024,Dezembro,PB,2362821,405,5,248
2024,Dezembro,PI,2365375,130,2,28
2024,Dezembro,CE,2373009,150,3,63
2024,Dezembro,RN,2375265,201,8,57
2024,Dezembro,SC,2379627,132,8,105
2024,Dezembro,PR,2384272,194,3,40
2024,Dezembro,BA,2390043,330,3,75
2024,Dezembro,MT,2392410,294,7,76
2024,Dezembro,MT,2395037,463,8,130
2024,Dezembro,MT,2397676,271,5,86
2024,Dezembro,PB,2399237,237,4,117
2024,Dezembro,PB,2399644,706,6,243
2024,Dezembro,PB,2399776,817,6,137
2024,Dezembro,BA,2402394,8,2,26
2024,Dezembro,RN,2408139,2,3,48
2024,Dezembro,RN,2408570,704,11,207
2024,Dezembro,RN,2409194,1468,5,203
2024,Dezembro,RN,2410486,117,7,70
2024,Dezembro,CE,2415461,33,3,75
2024,Dezembro,BA,2415844,390,9,103
2024,Dezembro,SE,2421542,150,4,72
2024,Dezembro,CE,2426072,3,8,47
2024,Dezembro,PE,2428385,51,23,114
2024,Dezembro,PE,2429004,54,17,154
2024,Dezembro,PE,2429438,55,2,39
2024,Dezembro,GO,2442108,126,10,103
2024,Dezembro,ES,2448637,249,11,88
2024,Dezembro,MA,2450143,46,8,38
2024,Dezembro,MA,2450429,193,3,76
2024,Dezembro,MA,2452820,37,6,78
2024,Dezembro,MA,2453665,98,4,77
2024,Dezembro,MA,2454475,188,8,60
2024,Dezembro,MA,2454696,376,4,109
2024,Dezembro,MA,2456672,467,13,357
2024,Dezembro,MA,2456710,28,39,35
2024,Dezembro,MA,2458055,412,3,86
2024,Dezembro,MA,2461277,167,3,50
2024,Dezembro,MA,2462583,198,2,62
2024,Dezembro,TO,2468972,374,4,109
2024,Dezembro,BA,2470748,561,7,86
2024,Dezembro,RN,2475227,63,8,25
2024,Dezembro,RN,2476487,299,5,87
2024,Dezembro,CE,2481073,820,5,194
2024,Dezembro,ES,2485966,735,3,145
2024,Dezembro,BA,2487756,530,8,155
2024,Dezembro,BA,2488892,208,5,69
2024,Dezembro,RO,2494280,9,4,36
2024,Dezembro,BA,2494930,297,3,115
2024,Dezembro,MT,2495015,247,16,201
2024,Dezembro,PE,2499975,217,3,108
2024,Dezembro,RN,2503549,16,13,65
2024,Dezembro,RN,2503689,625,8,172
2024,Dezembro,PA,2504901,206,3,59
2024,Dezembro,BA,2507455,13,2,53
2024,Dezembro,BA,2509369,119,4,62
2024,Dezembro,BA,2510391,493,2,115
2024,Dezembro,RO,2515369,17,16,259
2024,Dezembro,PE,2517019,12,10,55
2024,Dezembro,PE,2517124,65,1,63
2024,Dezembro,GO,2519151,32,1,36
2024,Dezembro,SC,2522209,245,8,72
2024,Dezembro,SC,2522411,935,8,222
2024,Dezembro,CE,2527057,7,2,80
2024,Dezembro,CE,2529068,627,4,135
2024,Dezembro,CE,2529386,57,20,107
2024,Dezembro,MT,2534460,575,7,164
2024,Dezembro,SC,2537192,398,8,175
2024,Dezembro,SC,2543443,6,1,28
2024,Dezembro,ES,2546957,651,8,101
2024,Dezembro,PR,2550792,584,8,439
2024,Dezembro,BA,2557118,276,3,79
2024,Dezembro,RN,2560089,622,2,48
2024,Dezembro,CE,2561026,52,4,52
2024,Dezembro,CE,2564238,328,6,146
2024,Dezembro,ES,2569213,153,4,68
2024,Dezembro,PR,2577380,104,13,64
2024,Dezembro,PR,2584573,31,2,40
2024,Dezembro,PR,2586169,780,5,100
2024,Dezembro,PR,2587165,4,4,140
2024,Dezembro,GO,2589737,17,14,196
2024,Dezembro,PR,2590727,347,4,92
2024,Dezembro,PR,2591049,683,7,206
2024,Dezembro,RN,2593874,1,6,32
2024,Dezembro,PR,2594366,297,6,123
2024,Dezembro,BA,2601729,186,4,93
2024,Dezembro,BA,2602105,16,8,35
2024,Dezembro,PB,2613476,516,8,177
2024,Dezembro,PB,2613743,150,9,119
2024,Dezembro,PE,2639009,36,8,109
2024,Dezembro,PE,2639068,4,6,42
2024,Dezembro,PE,2639262,684,7,218
2024,Dezembro,RN,2654261,231,9,122
2024,Dezembro,BA,2659069,102,13,72
2024,Dezembro,MT,2659107,583,10,241
2024,Dezembro,RN,2680033,236,2,49
2024,Dezembro,PR,2687127,915,6,121
2024,Dezembro,SP,2688433,625,5,148
2024,Dezembro,SP,2688573,680,12,200
2024,Dezembro,MS,2695138,114,4,41
2024,Dezembro,MA,2696029,226,2,47
2024,Dezembro,RJ,2696940,455,20,277
2024,Dezembro,SP,2702193,394,5,92
2024,Dezembro,SP,2705982,1852,9,361
2024,Dezembro,PB,2707527,601,4,110
2024,Dezembro,RS,2707969,357,10,101
2024,Dezembro,PE,2711613,121,17,115
2024,Dezembro,PE,2711974,122,6,66
2024,Dezembro,PE,2713497,11,13,37
2024,Dezembro,BA,2722895,56,1,23
2024,Dezembro,PI,2726998,427,11,198
2024,Dezembro,PI,2727064,91,10,57
2024,Dezembro,PR,2729539,29,1,37
2024,Dezembro,PR,2730650,411,4,101
2024,Dezembro,PR,2738120,65,3,54
2024,Dezembro,PR,2738279,78,3,34
2024,Dezembro,PR,2738287,221,3,101
2024,Dezembro,PR,2742047,241,8,168
2024,Dezembro,PR,2743388,296,4,88
2024,Dezembro,SP,2750988,265,8,163
2024,Dezembro,SP,2751704,281,6,106
2024,Dezembro,PB,2757710,308,4,89
2024,Dezembro,MG,2760681,45,5,49
2024,Dezembro,MG,2760991,139,3,69
2024,Dezembro,MG,2761149,44,5,30
2024,Dezembro,MG,2761254,158,6,66
2024,Dezembro,MG,2764806,61,6,49
2024,Dezembro,MG,2764814,709,12,122
2024,Dezembro,MG,2764830,102,5,35
2024,Dezembro,MT,2767384,318,4,91
2024,Dezembro,PI,2777746,368,7,123
2024,Dezembro,PI,2777754,514,5,82
2024,Dezembro,PI,2777762,322,9,80
2024,Dezembro,PR,2781816,205,3,93
2024,Dezembro,SP,2784602,1294,10,299
2024,Dezembro,SP,2785382,189,7,107
2024,Dezembro,TO,2786109,347,11,200
2024,Dezembro,SP,2786680,1357,13,307
2024,Dezembro,SP,2790734,13,13,57
2024,Dezembro,MT,2795671,593,7,163
2024,Dezembro,RJ,2798662,2490,9,561
2024,Dezembro,BA,2799286,738,4,201
2024,Dezembro,BA,2802090,713,10,152
2024,Dezembro,BA,2802112,118,14,193
2024,Dezembro,BA,2804034,711,7,210
2024,Dezembro,PR,2810123,216,5,53
2024,Dezembro,BA,2870045,190,2,35
2024,Dezembro,SP,2882949,36,7,26
2024,Dezembro,AP,2906635,212,2,42
2024,Dezembro,MA,2975386,207,8,51
2024,Dezembro,RJ,3002187,558,11,170
2024,Dezembro,RS,3006522,1,13,485
2024,Dezembro,MA,3018172,89,2,57
2024,Dezembro,DF,3018520,2,25,193
2024,Dezembro,MT,3028925,318,6,86
2024,Dezembro,SC,3039250,99,3,80
2024,Dezembro,RJ,3040119,26,10,85
2024,Dezembro,PB,3043142,23,8,59
2024,Dezembro,MG,3048675,22,11,55
2024,Dezembro,CE,3055426,1,1,97
2024,Dezembro,PB,3056724,2,9,248
2024,Dezembro,PR,3075516,215,8,131
2024,Dezembro,SE,3094863,67,1,22
2024,Dezembro,CE,3189546,24,5,92
2024,Dezembro,PI,3205282,16,2,28
2024,Dezembro,CE,3242587,2,7,235
2024,Dezembro,BA,3271110,9,1,95
2024,Dezembro,SP,3314766,131,2,35
2024,Dezembro,PE,3369293,24,2,48
2024,Dezembro,AP,3432076,107,31,100
2024,Dezembro,CE,3528618,2,5,202
2024,Dezembro,PR,3658287,28,0,49
2024,Dezembro,TO,3668770,56,3,54
2024,Dezembro,SP,3880966,304,8,112
2024,Dezembro,BA,3948684,8,1,54
2024,Dezembro,MA,4007514,3,3,36
2024,Dezembro,RN,4014111,288,8,62
2024,Dezembro,RN,4014235,226,6,65
2024,Dezembro,BA,4026896,769,6,186
2024,Dezembro,BA,4028414,236,2,48
2024,Dezembro,MG,4042107,282,5,79
2024,Dezembro,PR,4056752,882,6,212
2024,Dezembro,RN,4093577,76,2,130
2024,Dezembro,SP,4123077,3,0,84
2024,Dezembro,PR,4330919,88,8,69
2024,Dezembro,PR,4369831,275,1,82
2024,Dezembro,ES,4576497,16,3,21
2024,Dezembro,BA,4578732,558,7,180
2024,Dezembro,PA,4705335,29,1,27
2024,Dezembro,BA,4736346,80,3,45
2024,Dezembro,GO,5095808,574,7,60
2024,Dezembro,MG,5279003,6,6,50
2024,Dezembro,AC,5336171,290,7,113
2024,Dezembro,RJ,5364515,21,3,79
2024,Dezembro,PA,5599504,420,11,135
2024,Dezembro,PB,5654319,143,24,147
2024,Dezembro,GO,5685834,11,11,41
2024,Dezembro,MG,5844843,125,3,22
2024,Dezembro,RJ,6069134,396,7,88
2024,Dezembro,MT,6085423,379,8,148
2024,Dezembro,PA,6250564,165,9,116
2024,Dezembro,BA,6602533,973,9,266
2024,Dezembro,BA,6659772,22,8,72
2024,Dezembro,MG,6697054,222,8,130
2024,Dezembro,MA,6922902,294,2,63
2024,Dezembro,SP,6966594,261,5,52
2024,Dezembro,RJ,6995462,1315,13,331
2024,Dezembro,SP,6998194,181,23,60
2024,Dezembro,MA,7013620,582,6,78
2024,Dezembro,AL,7042671,279,8,129
2024,Dezembro,CE,7047428,431,12,190
2024,Dezembro,CE,7061021,275,18,222
2024,Dezembro,RJ,7065515,267,9,357
2024,Dezembro,MA,7073224,269,5,66
2024,Dezembro,SP,7210094,17,3,15
2024,Dezembro,ES,7336578,35,2,38
2024,Dezembro,PR,7442157,36,8,110
2024,Dezembro,GO,7532024,39,3,48
2024,Dezembro,PE,7551584,17,15,90
2024,Dezembro,PB,7666772,348,16,96
2024,Dezembro,RO,7704364,428,7,138
2024,Dezembro,PB,7870930,9,4,232
2024,Dezembro,SP,7894260,170,5,59
2024,Dezembro,DF,7978642,64,21,174
2024,Dezembro,SP,7992890,218,5,105
2024,Dezembro,RN,9119701,13,26,99
2024,Dezembro,SP,9465464,1020,10,287
2024,Dezembro,PB,9467718,745,10,252
2024,Dezembro,SP,9556095,431,10,126
2024,Dezembro,MA,9627812,325,3,55
2024,Dezembro,MG,9681752,178,12,359
2024,Dezembro,RJ,9895124,746,8,118
2024,Dezembro,SE,0003581,3,0,3
2024,Dezembro,BA,0003832,529,11,460
2024,Dezembro,BA,0003875,696,9,259
2024,Dezembro,BA,0004731,380,6,81
2024,Dezembro,BA,0006157,92,1,42
2024,Dezembro,BA,0006688,18,0,1
2024,Dezembro,SP,0008087,136,5,22
2024,Dezembro,PR,0013838,224,7,156
2024,Dezembro,PR,0013846,3798,12,890
2024,Dezembro,PR,0015180,9,6,16
2024,Dezembro,PR,0015334,1567,9,463
2024,Dezembro,PR,0015407,1595,7,206
2024,Dezembro,PR,0015415,69,14,42
2024,Dezembro,PR,0015636,188,0,22
2024,Dezembro,PR,0016462,133,7,48
2024,Dezembro,PR,0017574,646,2,84
2024,Dezembro,PR,0017779,51,2,50
2024,Dezembro,PR,0017884,561,5,135
2024,Dezembro,PR,0018694,77,4,38
2024,Dezembro,SP,0026417,208,7,44
2024,Dezembro,MG,0026794,1820,6,290
2024,Dezembro,MG,0026921,1723,9,487
2024,Dezembro,MG,0026948,387,12,157
2024,Dezembro,MG,0027049,1595,9,465
2024,Dezembro,PA,0090301,323,3,63
2024,Dezembro,SP,0115509,217,4,35
2024,Dezembro,RJ,0182974,108,3,42
2024,Dezembro,PR,0854646,58,2,25
2024,Dezembro,AC,2000121,171,3,42
2024,Dezembro,AC,2000733,427,6,102
2024,Dezembro,AC,2000822,12,3,17
2024,Dezembro,AC,2000865,121,3,34
2024,Dezembro,AC,2000970,39,3,25
2024,Dezembro,AC,2001586,870,11,232
2024,Dezembro,AL,2003570,12,3,40
2024,Dezembro,AL,2005417,952,7,531
2024,Dezembro,AL,2010151,213,9,153
2024,Dezembro,AL,2010380,1,1,27
2024,Dezembro,AL,2010631,503,11,134
2024,Dezembro,AL,2011166,145,3,50
2024,Dezembro,AM,2013029,218,4,31
2024,Dezembro,AM,2016249,25,2,29
2024,Dezembro,AM,2017431,303,12,132
2024,Dezembro,AM,2017652,119,3,20
2024,Dezembro,AM,2019523,172,3,48
2024,Dezembro,AP,2019728,33,3,25
2024,Dezembro,SP,2023709,640,5,120
2024,Dezembro,SP,2042894,64,17,26
2024,Dezembro,SP,2053500,48,3,40
2024,Dezembro,SP,2058405,1,9,2
2024,Dezembro,SP,2075717,390,5,75
2024,Dezembro,SP,2076942,25,6,14
2024,Dezembro,SP,2077078,162,3,48
2024,Dezembro,SP,2077388,459,3,109
2024,Dezembro,SP,2077531,106,11,381
2024,Dezembro,SP,2077574,1575,11,419
2024,Dezembro,SP,2077582,185,10,81
2024,Dezembro,SP,2077671,1207,14,260
2024,Dezembro,SP,2078198,7,4,9
2024,Dezembro,SP,2078546,34,4,40
2024,Dezembro,SP,2078813,134,0,16
2024,Dezembro,SP,2079135,423,6,104
2024,Dezembro,SP,2079216,48,6,31
2024,Dezembro,SP,2079232,357,9,145
2024,Dezembro,SP,2079321,207,11,92
2024,Dezembro,SP,2079380,44,2,11
2024,Dezembro,SP,2079593,294,6,114
2024,Dezembro,SP,2079836,204,6,90
2024,Dezembro,SP,2079860,411,8,91
2024,Dezembro,SP,2079879,156,5,50
2024,Dezembro,SP,2080087,52,3,56
2024,Dezembro,SP,2080605,3,5,20
2024,Dezembro,SP,2081091,262,8,97
2024,Dezembro,SP,2081237,19,7,24
2024,Dezembro,SP,2081245,4,3,22
2024,Dezembro,SP,2081253,528,9,179
2024,Dezembro,SP,2081717,162,4,40
2024,Dezembro,SP,2081784,54,6,42
2024,Dezembro,SP,2081903,233,4,50
